startup_name,industry,country,funding_amount_usd,funding_stage,source_dataset
"Williamson, Greer and Clark",SaaS,Australia,304706.0,Seed,startup_funding_dataset
"Bradford, Green and Miranda",Finance,India,641212096.0,IPO,startup_funding_dataset
Kelly LLC,AI,UK,4149256.0,Series A,startup_funding_dataset
Riggs-Wells,Health,France,940259054.0,IPO,startup_funding_dataset
"Walters, Edwards and Welch",E-commerce,France,419487.0,Seed,startup_funding_dataset
"Martinez, Miller and Valdez",AI,UK,4356688.0,Series A,startup_funding_dataset
Garcia Inc,Education,USA,48615111.0,Series B,startup_funding_dataset
"Castro, Brown and Anderson",Finance,Netherlands,246306446.0,IPO,startup_funding_dataset
"Thompson, Orozco and Johnson",Gaming,Germany,387248.0,Seed,startup_funding_dataset
"Drake, Nelson and Smith",SaaS,USA,171659162.0,Series C,startup_funding_dataset
Page-Brooks,SaaS,Canada,25021898.0,Series B,startup_funding_dataset
Perez PLC,SaaS,Canada,15381185.0,Series B,startup_funding_dataset
Mcintyre-Gonzalez,SaaS,India,108337.0,Seed,startup_funding_dataset
Rice-Krueger,AI,UK,603891616.0,IPO,startup_funding_dataset
Adams-Burke,Education,Canada,32978521.0,Series B,startup_funding_dataset
Gross-Vazquez,SaaS,France,321493.0,Seed,startup_funding_dataset
Deleon-Morrison,Education,Germany,384290.0,Seed,startup_funding_dataset
Hunt PLC,Finance,Australia,445137464.0,IPO,startup_funding_dataset
"Edwards, Fisher and Johnson",AI,Netherlands,2678391.0,Series A,startup_funding_dataset
Santiago Group,Tech,USA,1993382.0,Series A,startup_funding_dataset
Schaefer-Walker,Education,Australia,503448862.0,IPO,startup_funding_dataset
Schwartz-Hansen,AI,USA,915449700.0,IPO,startup_funding_dataset
Velazquez Inc,Health,India,413097.0,Seed,startup_funding_dataset
Davis Inc,Health,Germany,969794492.0,IPO,startup_funding_dataset
Thornton Group,Gaming,Germany,2823288.0,Series A,startup_funding_dataset
"Hicks, Walters and Crawford",Finance,France,30785233.0,Series B,startup_funding_dataset
"Fuentes, Bright and Rice",Tech,Germany,452812896.0,IPO,startup_funding_dataset
"Harris, Hicks and Martinez",Gaming,Australia,54326520.0,Series C,startup_funding_dataset
Lowe-Lawson,Tech,India,3172004.0,Series A,startup_funding_dataset
Hogan-Martin,Health,France,171156441.0,Series C,startup_funding_dataset
Porter Inc,E-commerce,Germany,434321.0,Seed,startup_funding_dataset
Salinas-Wilson,SaaS,India,20213168.0,Series B,startup_funding_dataset
Gates-Hall,Education,USA,49164978.0,Series B,startup_funding_dataset
"Franco, Jenkins and Davis",Health,UK,954481067.0,IPO,startup_funding_dataset
Kelly-Perez,Tech,Australia,38022554.0,Series B,startup_funding_dataset
Ochoa Group,SaaS,Canada,875505221.0,IPO,startup_funding_dataset
Greer-Evans,E-commerce,Germany,31185367.0,Series B,startup_funding_dataset
Mccarthy-Scott,Gaming,India,492204156.0,IPO,startup_funding_dataset
Campbell PLC,Tech,UK,98229893.0,Series C,startup_funding_dataset
Torres-Rivera,E-commerce,Australia,5487164.0,Series A,startup_funding_dataset
Williams-Palmer,Education,France,92642917.0,Series C,startup_funding_dataset
"Williamson, Marshall and Miller",Education,Germany,28296395.0,Series B,startup_funding_dataset
Miller-Hunter,AI,France,195103070.0,Series C,startup_funding_dataset
Vasquez Ltd,Education,Netherlands,772675997.0,IPO,startup_funding_dataset
"Chase, Garcia and Collins",SaaS,USA,356895.0,Seed,startup_funding_dataset
Kelly-Mata,Tech,Netherlands,165091418.0,Series C,startup_funding_dataset
"Clark, Wallace and Lewis",Education,UK,33194821.0,Series B,startup_funding_dataset
Cox-Ryan,Gaming,Germany,7873154.0,Series A,startup_funding_dataset
Freeman Inc,Education,USA,309408.0,Seed,startup_funding_dataset
Wright-Turner,Gaming,UK,71152189.0,Series C,startup_funding_dataset
"Palmer, Branch and Ward",E-commerce,Canada,10273549.0,Series B,startup_funding_dataset
Castaneda PLC,E-commerce,India,76353123.0,Series C,startup_funding_dataset
Higgins-Smith,E-commerce,Netherlands,3587231.0,Series A,startup_funding_dataset
Johnson-Farrell,SaaS,France,179672205.0,Series C,startup_funding_dataset
"Gonzales, Walton and Webb",Finance,Germany,1023276.0,Series A,startup_funding_dataset
"Green, Macdonald and Green",E-commerce,Australia,140708501.0,Series C,startup_funding_dataset
Snyder and Sons,Finance,Canada,8186900.0,Series A,startup_funding_dataset
Wood and Sons,Gaming,UK,460470.0,Seed,startup_funding_dataset
Taylor-Fernandez,Gaming,Netherlands,517461857.0,IPO,startup_funding_dataset
Richardson Group,Tech,France,518072574.0,IPO,startup_funding_dataset
"Jackson, Brown and Francis",Tech,Canada,110010644.0,Series C,startup_funding_dataset
"Chapman, Gilbert and Fitzgerald",Health,Canada,80717.0,Seed,startup_funding_dataset
Smith-Arnold,Finance,India,611926058.0,IPO,startup_funding_dataset
Peterson LLC,E-commerce,Canada,845755100.0,IPO,startup_funding_dataset
"Larson, Norris and Moore",AI,USA,129632.0,Seed,startup_funding_dataset
Bradford-Russell,SaaS,Canada,160404.0,Seed,startup_funding_dataset
Snyder Ltd,Tech,UK,9605245.0,Series A,startup_funding_dataset
"Flores, Ritter and Walker",Tech,France,420976.0,Seed,startup_funding_dataset
