"Startup_Name,Industry_AI_Application,Country,Funding_Stage,Valuation ($M),Funding_Amount ($M),Investors,Year,Profitability,Employee_Count,AI_Model_Type"
"DeepMind Health,Healthcare Diagnostics,UK,Series D,4500,300,""Google, Sequoia"",2020,FALSE,1200,Reinforcement Learning"
"ScaleAI,Autonomous Vehicles,USA,Series E,7300,500,""Y Combinator, Tiger Global"",2023,TRUE,850,Computer Vision"
"Synthesia,Synthetic Media,UK,Series B,1200,90,""Kleiner Perkins"",2022,FALSE,150,Generative AI"
"Hugging Face,NLP Tools,USA,Series C,4000,200,""Lux Capital, A16Z"",2021,FALSE,300,Transformer Models"
"Waymo,Self-Driving Cars,USA,Series F,30000,1000,""Alphabet, Silver Lake"",2023,FALSE,2500,Deep Learning"
"DataRobot,Enterprise AI,USA,Series E,6000,350,""NEA, Meritech"",2022,TRUE,1200,AutoML"
"Darktrace,Cybersecurity AI,UK,IPO,5000,200,""KKR, Summit Partners"",2021,TRUE,2000,Anomaly Detection"
"OpenAI,AGI Research,USA,Series D,80000,1000,""Microsoft, Khosla"",2023,FALSE,500,GPT Models"
"UiPath,Robotic Process Automation,USA,IPO,35000,750,""Accel, Sequoia"",2021,TRUE,4000,Computer Vision"
"Celonis,Process Mining,Germany,Series D,11000,400,""Sapphire Ventures"",2022,TRUE,2500,Time-Series AI"
"Cerebras Systems,AI Chips,USA,Series F,8000,600,""Benchmark, Altimeter"",2023,FALSE,800,Hardware AI"
"Graphcore,AI Processors,UK,Series E,2800,150,""Sequoia, BMW"",2021,FALSE,500,Neuromorphic Computing"
"Clarifai,Computer Vision,USA,Series C,1200,60,""Union Square, LDV"",2020,TRUE,200,Image Recognition"
"Tempus,Precision Medicine,USA,Series G,8000,400,""Google Ventures, T. Rowe"",2022,FALSE,1500,Predictive Analytics"
"C3.ai,Enterprise AI,USA,IPO,5000,300,""Patriarch, Breyer"",2021,FALSE,900,Time-series AI"
"Nuro,Autonomous Delivery,USA,Series D,8600,600,""SoftBank, Greylock"",2023,FALSE,1100,Robotics AI"
"SoundHound,Voice AI,USA,IPO,2200,100,""Tencent, NVIDIA"",2022,FALSE,600,Speech Recognition"
"Sentient Technologies,E-Commerce AI,USA,Series C,1800,80,""Tata, Access"",2020,FALSE,300,Evolutionary AI"
"Zoox,Robotaxis,USA,Acquired,3000,800,""Amazon, DFJ"",2021,FALSE,1300,Autonomous Systems"
"Covariant,Warehouse Robotics,USA,Series C,2000,120,""Index, Amplify"",2022,FALSE,250,Reinforcement Learning"
"SambaNova,AI Hardware,USA,Series D,5100,350,""Intel, BlackRock"",2023,FALSE,600,Deep Learning Chips"
