year,quarter,total_deals,total_funding_million_usd,avg_deal_size_million_usd,median_deal_size_million_usd,median_valuation_million_usd,unique_startups,unique_investors,period
2020,Q1,134,1488.06,11.1,2.24,16.64,131,61,2020-Q1
2020,Q2,115,901.77,7.84,2.07,14.39,112,57,2020-Q2
2020,Q3,127,2414.86,19.01,1.87,13.31,124,60,2020-Q3
2020,Q4,127,1695.85,13.35,1.47,10.81,125,61,2020-Q4
2021,Q1,112,1380.6,12.33,1.82,13.62,110,56,2021-Q1
2021,Q2,103,1377.46,13.37,2.81,18.59,102,55,2021-Q2
2021,Q3,110,1135.52,10.32,1.67,12.85,110,62,2021-Q3
2021,Q4,101,1050.49,10.4,2.18,15.92,99,56,2021-Q4
2022,Q1,115,1792.11,15.58,1.92,13.61,112,61,2022-Q1
2022,Q2,116,886.6,7.64,1.36,9.16,113,62,2022-Q2
2022,Q3,96,818.87,8.53,1.76,11.23,96,53,2022-Q3
2022,Q4,135,1105.41,8.19,1.39,9.54,133,62,2022-Q4
2023,Q1,107,1361.43,12.72,1.79,11.2,102,59,2023-Q1
2023,Q2,122,1108.98,9.09,1.52,11.38,121,59,2023-Q2
2023,Q3,116,1041.61,8.98,2.17,16.63,114,58,2023-Q3
2023,Q4,108,1472.57,13.63,1.82,11.7,104,55,2023-Q4
2024,Q1,105,1284.82,12.24,1.84,12.61,105,51,2024-Q1
2024,Q2,113,1269.82,11.24,1.82,13.91,112,55,2024-Q2
2024,Q3,99,1528.09,15.44,2.01,13.0,97,52,2024-Q3
2024,Q4,97,1010.78,10.42,1.66,11.88,94,60,2024-Q4
2025,Q1,112,1943.9,17.36,2.26,15.34,110,56,2025-Q1
2025,Q2,121,1870.7,15.46,1.87,13.05,119,60,2025-Q2
2025,Q3,122,1241.45,10.18,2.08,15.52,120,56,2025-Q3
2025,Q4,107,1251.05,11.69,1.68,11.27,103,53,2025-Q4
2026,Q1,98,1092.26,11.15,1.86,14.47,98,58,2026-Q1
