Startup_ID,Startup_Name,Industry,City,State,Funding_Year,Funding_Stage,Lead_Investor,Funding_Amount_USD,Employees,Status
1,Startup_001,Cybersecurity,Pune,Maharashtra,2025,Series A,Blume Ventures,20300000,417,Active
2,Startup_002,E-commerce,Pune,Maharashtra,2025,Pre-Series A,Accel,12200000,406,Active
3,Startup_003,AgriTech,Ahmedabad,Gujarat,2022,Seed,Accel,8300000,362,Active
4,Startup_004,EdTech,Hyderabad,Telangana,2025,Series C,Peak XV,43800000,393,Active
5,Startup_005,EdTech,Jaipur,Rajasthan,2018,Pre-Series A,Blume Ventures,36800000,476,Active
6,Startup_006,SaaS,Ahmedabad,Gujarat,2022,Series C,Peak XV,16800000,210,Active
7,Startup_007,Logistics,Ahmedabad,Gujarat,2023,Series A,Blume Ventures,38100000,388,Active
8,Startup_008,E-commerce,Jaipur,Rajasthan,2022,Series C,Nexus Venture Partners,11800000,131,Active
9,Startup_009,E-commerce,Ahmedabad,Gujarat,2020,Pre-Series A,Tiger Global,6200000,172,Active
10,Startup_010,FinTech,Noida,Uttar Pradesh,2024,Series A,Accel,900000,472,Active
11,Startup_011,SaaS,Delhi,Delhi,2026,Series A,Peak XV,3200000,334,Active
12,Startup_012,E-commerce,Pune,Maharashtra,2018,Series A,Matrix Partners,24900000,63,Active
13,Startup_013,AI,Hyderabad,Telangana,2018,Pre-Series A,Accel,24500000,399,Active
14,Startup_014,SaaS,Kolkata,West Bengal,2024,Series A,Tiger Global,6900000,52,Active
15,Startup_015,CleanTech,Hyderabad,Telangana,2026,Series B,Nexus Venture Partners,30100000,108,Active
16,Startup_016,CleanTech,Pune,Maharashtra,2018,Series C,Peak XV,22900000,432,Active
17,Startup_017,HealthTech,Delhi,Delhi,2024,Series A,Kalaari Capital,4000000,416,Active
18,Startup_018,AgriTech,Kolkata,West Bengal,2021,Series C,Accel,19900000,474,Active
19,Startup_019,HealthTech,Kolkata,West Bengal,2018,Series B,Accel,40200000,88,Active
20,Startup_020,FinTech,Noida,Uttar Pradesh,2018,Series A,Tiger Global,2300000,443,Active
21,Startup_021,Logistics,Bengaluru,Karnataka,2021,Seed,Nexus Venture Partners,5800000,101,Active
22,Startup_022,EdTech,Delhi,Delhi,2025,Series A,Sequoia Capital,39600000,480,Active
23,Startup_023,E-commerce,Mumbai,Maharashtra,2022,Series A,Peak XV,41900000,463,Active
24,Startup_024,FinTech,Ahmedabad,Gujarat,2022,Series B,Sequoia Capital,37200000,391,Active
25,Startup_025,HealthTech,Kolkata,West Bengal,2018,Series C,Blume Ventures,16300000,308,Active
26,Startup_026,AI,Jaipur,Rajasthan,2025,Series C,Blume Ventures,13400000,188,Active
27,Startup_027,AI,Hyderabad,Telangana,2020,Series B,Blume Ventures,3000000,232,Active
28,Startup_028,Cybersecurity,Mumbai,Maharashtra,2023,Seed,Kalaari Capital,12800000,148,Active
29,Startup_029,SaaS,Jaipur,Rajasthan,2026,Pre-Series A,Blume Ventures,16700000,260,Active
30,Startup_030,AI,Kolkata,West Bengal,2021,Pre-Series A,Blume Ventures,6300000,320,Active
