round_id,startup_id,startup_name,funding_date,year,quarter,funding_stage,amount_million_usd,pre_money_valuation_million_usd,post_money_valuation_million_usd,equity_dilution_pct,lead_investor,investor_type,num_investors,sector,country,region,city,investor_id
R00001,S00001,DataTech,2023-03-22,2023,Q1,Seed,4.2,13.98,18.18,13.8,Redpoint Ventures,Angel Investor,1,Gaming & Entertainment,Mexico,South America,Mexico City,INV0038
R00002,S00002,VertexPlatform,2025-01-19,2025,Q1,Pre-Seed,0.55,2.34,2.89,12.7,General Catalyst,Angel Investor,2,Artificial Intelligence,Indonesia,Asia,Surabaya,INV0009
R00003,S00002,VertexPlatform,2021-07-14,2021,Q3,Series A,15.35,176.14,191.49,18.4,Index Ventures,Corporate VC,3,Artificial Intelligence,Indonesia,Asia,Surabaya,INV0015
R00004,S00003,KiteAI,2022-01-29,2022,Q1,Pre-Seed,0.42,2.97,3.39,10.0,Alibaba Group,Angel Investor,4,SaaS / Enterprise Software,Germany,Europe,Munich,INV0054
R00005,S00004,SwiftSecurity,2022-07-03,2022,Q3,Pre-Seed,1.03,8.17,9.2,15.0,Benchmark,Corporate VC,2,Healthcare & Biotech,Australia,Oceania,Sydney,INV0008
R00006,S00004,SwiftSecurity,2024-07-19,2024,Q3,Series A,16.02,169.46,185.48,19.1,Union Square Ventures,Government/Sovereign Fund,4,Healthcare & Biotech,Australia,Oceania,Sydney,INV0039
R00007,S00005,ZenBio,2021-01-01,2021,Q1,Seed,1.25,4.34,5.59,13.6,Alibaba Group,Private Equity,2,Travel Tech,Israel,Middle East,Jerusalem,INV0054
R00008,S00005,ZenBio,2025-05-11,2025,Q2,Series A,16.42,192.15,208.57,19.5,Microsoft M12,Venture Capital,3,Travel Tech,Israel,Middle East,Jerusalem,INV0057
R00009,S00005,ZenBio,2026-01-14,2026,Q1,Series B,120.0,1026.82,1146.82,29.2,Qualcomm Ventures,Private Equity,1,Travel Tech,Israel,Middle East,Jerusalem,INV0062
R00010,S00006,Tideio,2021-06-17,2021,Q2,Pre-Seed,0.34,1.39,1.73,9.1,SoftBank Vision Fund,Venture Capital,5,Real Estate Tech,Spain,Europe,Madrid,INV0005
R00011,S00007,FluxSystems,2025-01-13,2025,Q1,Seed,2.16,8.34,10.5,11.0,Qualcomm Ventures,Venture Capital,3,SaaS / Enterprise Software,United States,North America,Boston,INV0062
R00012,S00007,FluxSystems,2023-09-11,2023,Q3,Series A,23.41,201.38,224.79,16.4,Google Ventures,Accelerator,2,SaaS / Enterprise Software,United States,North America,Boston,INV0059
R00013,S00008,RapidCloud,2020-01-03,2020,Q1,Pre-Seed,0.27,2.48,2.75,5.2,Headline,Venture Capital,1,Artificial Intelligence,China,Asia,Hangzhou,INV0045
R00014,S00008,RapidCloud,2020-10-05,2020,Q4,Series A,8.41,58.05,66.46,16.6,B Capital Group,Venture Capital,5,Artificial Intelligence,China,Asia,Hangzhou,INV0048
R00015,S00008,RapidCloud,2025-01-11,2025,Q1,Series C,118.53,658.02,776.55,18.0,Point Nine Capital,Accelerator,5,Artificial Intelligence,China,Asia,Hangzhou,INV0044
R00016,S00009,QuarkStack,2025-03-29,2025,Q1,Seed,2.02,6.92,8.94,20.4,Partech,Government/Sovereign Fund,4,SaaS / Enterprise Software,China,Asia,Beijing,INV0046
R00017,S00009,QuarkStack,2025-06-01,2025,Q2,Series B,50.45,439.45,489.9,18.1,Microsoft M12,Venture Capital,5,SaaS / Enterprise Software,China,Asia,Beijing,INV0057
R00018,S00009,QuarkStack,2026-01-05,2026,Q1,Series C,85.31,365.04,450.35,9.3,GV (Google Ventures),Venture Capital,2,SaaS / Enterprise Software,China,Asia,Beijing,INV0011
R00019,S00010,EchoNet,2025-05-27,2025,Q2,Pre-Seed,0.23,1.3,1.53,10.1,Union Square Ventures,Corporate VC,1,Space Tech,Canada,North America,Montreal,INV0039
R00020,S00010,EchoNet,2020-06-05,2020,Q2,Series A,3.2,38.32,41.52,19.7,Blume Ventures,Accelerator,1,Space Tech,Canada,North America,Montreal,INV0071
R00021,S00011,RuneSpace,2020-10-17,2020,Q4,Seed,3.92,14.18,18.1,20.7,Sequoia Capital,Corporate VC,9,E-Commerce,Mexico,South America,Monterrey,INV0001
R00022,S00012,MetaCloud,2026-01-29,2026,Q1,Pre-Seed,0.37,2.79,3.16,12.4,Abu Dhabi Investment Authority,Venture Capital,4,Healthcare & Biotech,Poland,Europe,Kraków,INV0051
R00023,S00012,MetaCloud,2020-07-17,2020,Q3,Seed,4.75,20.67,25.42,16.1,IVP,Venture Capital,4,Healthcare & Biotech,Poland,Europe,Kraków,INV0034
