name,batch,location,description,tags,yc_profile_url,website,status,team_size
DoorDash,Summer 2013,"San Francisco, CA, USA",Restaurant delivery.,"CONSUMER, FOOD AND BEVERAGE",https://www.ycombinator.com/companies/doordash,,,
Airbnb,Winter 2009,"San Francisco, CA, USA",Book accommodations around the world.,"CONSUMER, TRAVEL, LEISURE AND TOURISM",https://www.ycombinator.com/companies/airbnb,,,
Coinbase,Summer 2012,"Los Angeles, CA, USA","Buy, sell, and manage cryptocurrencies.","FINTECH, BANKING AND EXCHANGE",https://www.ycombinator.com/companies/coinbase,,,
Groww,Winter 2018,"Bengaluru, KA, India","Making financial services simple, transparent and delightful.","FINTECH, ASSET MANAGEMENT",https://www.ycombinator.com/companies/groww,,,
Instacart,Summer 2012,"San Francisco, CA, USA",Marketplace for grocery delivery and pickup,"CONSUMER, FOOD AND BEVERAGE",https://www.ycombinator.com/companies/instacart,,,
Meesho,Summer 2016,"Bengaluru, KA, India",Democratizing internet commerce for everyone in India,"B2B, RETAIL",https://www.ycombinator.com/companies/meesho,,,
Oklo,Summer 2014,"San Francisco, CA, USA","Emission free, always on power from advanced fission power plants.","INDUSTRIALS, ENERGY",https://www.ycombinator.com/companies/oklo,,,
BillionToOne,Summer 2017,"San Francisco, CA, USA",The genetic testing platform detecting and measuring disease.,"HEALTHCARE, DIAGNOSTICS",https://www.ycombinator.com/companies/billiontoone,,,
GitLab,Winter 2015,"San Francisco, CA, USA",A complete DevOps platform delivered as a single application.,B2B,https://www.ycombinator.com/companies/gitlab,,,
Rigetti Computing,Summer 2014,"San Francisco, CA, USA",Quantum coherent supercomputing.,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/rigetti-computing,,,
Dropbox,Summer 2007,"San Francisco, CA, USA",Backup and share files in the cloud.,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/dropbox,,,
EquipmentShare,Winter 2015,"Columbia, MO, USA",Cloud solutions for the construction industry.,"REAL ESTATE AND CONSTRUCTION, CONSTRUCTION",https://www.ycombinator.com/companies/equipmentshare,,,
Matterport,Winter 2012,"San Francisco, CA, USA",Turn physical objects and environments into 3D models in seconds.,"CONSUMER, VIRTUAL AND AUGMENTED REALITY",https://www.ycombinator.com/companies/matterport,,,
Amplitude,Winter 2012,"San Francisco, CA, USA",Digital Analytics Platform,"B2B, ANALYTICS",https://www.ycombinator.com/companies/amplitude,,,
PagerDuty,Summer 2010,"San Francisco, CA, USA",Real-time visibility into critical apps and services all in one place.,B2B,https://www.ycombinator.com/companies/pagerduty,,,
Weave,Winter 2014,"Lehi, UT, USA",Customer communication and payments platform.,"B2B, OFFICE MANAGEMENT",https://www.ycombinator.com/companies/weave,,,
Ginkgo Bioworks,Summer 2014,"Boston, MA, USA",Our mission is to make biology easier to engineer.,"HEALTHCARE, INDUSTRIAL BIO",https://www.ycombinator.com/companies/ginkgo-bioworks,,,
Pardes Biosciences,Summer 2020,"San Francisco, CA, USA",We break viruses,"HEALTHCARE, DRUG DISCOVERY AND DELIVERY",https://www.ycombinator.com/companies/pardes-bio,,,
Momentus,Summer 2018,"San Francisco, CA, USA",The space infrastructure services company,"INDUSTRIALS, AVIATION AND SPACE",https://www.ycombinator.com/companies/momentus,,,
Embark Trucks,Winter 2016,"San Francisco, CA, USA",Self-driving semi trucks.,"INDUSTRIALS, AUTOMOTIVE",https://www.ycombinator.com/companies/embark-trucks,,,
Lucira Health,Winter 2015,"Emeryville, CA, USA",Next generation infectious disease test kits,"HEALTHCARE, DIAGNOSTICS",https://www.ycombinator.com/companies/lucira-health,,,
Segment,Summer 2011,"San Francisco, CA, USA","Software and APIs to collect, clean, and control customer data.","B2B, ANALYTICS",https://www.ycombinator.com/companies/segment,,,
